"","bucket","cmsisdn"
"1",211,1
"2",203,1
"3",195,2
"4",187,5
"5",179,6
"6",171,7
"7",163,13
"8",155,10
"9",147,24
"10",139,29
"11",131,36
"12",123,50
"13",115,59
"14",107,56
"15",99,111
"16",91,94
"17",83,123
"18",75,133
"19",67,107
"20",59,154
"21",51,248
"22",43,202
"23",35,232
"24",27,283
"25",19,280
"26",11,289
"27",3,381
"28",0,132
"29",-5,219
"30",-13,306
